suburb,price
SEVILLE EAST,755000
SEYMOUR,467500
SHEPPARTON,445000
SHEPPARTON NORTH,610000
SHOREHAM,2100000
SILVERLEAVES,1137500
SKIPTON,336000
SKYE,760000
SMITHS BEACH,957500
SMYTHES CREEK,550000
SOLDIERS HILL,570000
SOMERS,1550000
SOMERVILLE,765000
SORRENTO,2120000
SOUTH GEELONG,882000
SOUTH KINGSVILLE,1250000
SOUTH MELBOURNE,1630000
SOUTH MORANG,725000
SOUTH YARRA,2390000
SPOTSWOOD,1130000
SPRING GULLY,700000
SPRINGVALE,870000
SPRINGVALE SOUTH,800000
ST ALBANS,640500
ST ALBANS PARK,586500
ST ANDREWS BEACH,1572500
ST ARNAUD,279500
ST HELENA,1175000
ST KILDA,1480500
ST KILDA EAST,1623000
ST KILDA WEST,2855000
ST LEONARDS                             ,754000
STANHOPE,352500
STAWELL,319000
STRATFORD,480000
STRATHDALE,637500
STRATHFIELDSAYE,715000
STRATHMERTON,365000
STRATHMORE,1416500
STRATHMORE HEIGHTS,1056000
STRATHTULLOH,642500
STUDFIELD,1095000
SUNBURY,660000
SUNDERLAND BAY,672500
SUNNYCLIFFS,380000
SUNSET STRIP,690000
SUNSHINE,797500
SUNSHINE NORTH,721500
SUNSHINE WEST,700000
SURF BEACH,805000
SURREY HILLS,2390000
SWAN HILL,435000
SYDENHAM,741500
SYNDAL,1955000
TALLANGATTA,470000
TANGAMBALANGA,557500
TARNEIT,653500
TATURA,475000
TAWONGA SOUTH,553000
TAYLORS HILL,906500
TAYLORS LAKES,925000
TECOMA,838000
TEMPLESTOWE,1685000
TEMPLESTOWE LOWER,1410000
TERANG,382500
THE BASIN,850000
THE PATCH,830000
THOMASTOWN,691000
THOMSON (GREATER,547500
THORNBURY,1382000
THORNHILL PARK,610000
TIMBOON,476500
TONGALA,405500
TOONGABBIE,569000
TOORA,450000
TOORADIN,880000
TOORAK,5325000
TOOTGAROOK,885000
TORQUAY,1255000
TRAFALGAR,560000
TRARALGON,500000
TRARALGON EAST,785000
TRENTHAM,930000
TRUGANINA,647000
TULLAMARINE,720000
TYABB,730000
UPPER FERNTREE GULLY,852000
UPWEY,880000
VENTNOR,800000
VENUS BAY,613500
VERMONT,1235000
VERMONT SOUTH,1533000
VIEWBANK,1195000
VIOLET TOWN,499500
WAHGUNYAH,375000
WALLAN,620000
WALLAN EAST,600000
WANDANA HEIGHTS,1015000
WANDIN NORTH,773000
WANDONG,762500
WANGARATTA,525000
WANTIRNA,1150000
WANTIRNA SOUTH,1322000
WARBURTON,695000
WARRACKNABEAL,240000
WARRAGUL,646000
WARRANDYTE,1262000
WARRANWOOD,1197500
WARRNAMBOOL,605000
WATERWAYS,1690000
WATSONIA,875500
WATSONIA NORTH,930000
WATTLE GLEN,890000
WAURN PONDS,826500
WEDDERBURN,300000
WEIR VIEWS,560000
WENDOUREE,470000
WENDOUREE WEST,365000
WERRIBEE,610000
WERRIBEE SOUTH,930000
WESBURN,642500
WEST FOOTSCRAY,915000
WEST MELBOURNE,1215000
WEST WODONGA,545000
WESTALL,858000
WESTGARTH,1910000
WESTMEADOWS,727500
WHEELERS HILL,1509000
WHITE HILLS,495000
WHITTINGTON,500000
WHITTLESEA,760000
WILLIAMS LANDING,799500
WILLIAMSTOWN,1580000
WILLIAMSTOWN NORTH,1275000
WILLOW GROVE,600000
WIMBLEDON HEIGHTS,620000
WINCHELSEA,642500
WINDSOR,1460000
WINTER VALLEY,580000
WODONGA,545000
WOLLERT,705000
WONGA PARK,1265000
WONTHAGGI,555000
WOODEND,965000
WOOLAMAI WATERS,779000
WOORI YALLOCK,652000
WY YUNG,547500
WYCHEPROOF,203500
WYNDHAM VALE,580000
YACKANDANDAH,760000
YALLAMBIE,942000
YALLOURN NORTH,319500
YARRA GLEN,784500
YARRA JUNCTION,705000
YARRAGON,645000
YARRAM,395000
YARRAVILLE,1100000
YARRAWONGA,640000
YEA,550000
YINNAR,Z
